cancel  v.删去,取消
horizon  n.地平线;(常pl.)眼界,见识
colloquium  n.学术讨论会
environment  n.环境，外界
undertaking  n.任务，事业；许诺
Asia  n.亚洲
airplane  n.(美)飞机
progressive  a.进步的，先进的；前进的
shaft  n.矛;矿井;车辕;轴;光线
slightly  ad.稍微，有点
oblation  n.宗教的供品,祭品
electrician  n.电学家，电工
charter  n./v.宪章;特许状;租赁;vt.特许,发执照
compost  n.混合肥料
indeterminate  a.不确定的，不明确的
apex  n.顶点,最高点
burdensome  adj.沉重的
rhinestone  n.水晶石,莱茵石
explode  v.(使)爆炸,爆发
greengrocer  n.蔬菜商
brave  a.勇敢的
narrow  a.狭窄的
decadence  n.衰落,颓废
contradict  vt.反驳,否认;同…矛盾
shape  n.外形v.制作
comport  v.特别地举止或行为
specify  v.指定，详细说明
gravel  n.沙砾,碎石
submerge  vt.放于水下;使沉没
dissonant  adj.不和谐的,不协调的
converge  v.会聚,集中于一点
compose  v.组成,构成,创作,排字,使安静
pertinent  a.贴切的,中肯的;相关的
charming  a.迷人的，可爱的
brawl  v./n.争吵,打架
singer  n.歌唱家，歌手
bibulous  a.高度吸收的；嗜酒的
incontestable  adj.无可争辩的
parquet  n.镶木地板
inertia  n.不活动，惰性；惯性
epitomize  v.概括，摘要
arrear  n.欠款
vacuum  n.真空
pauper  n.贫民,乞丐
administer  vt.掌管,料理…的事务;实施;给予,派给,投(药)
transplant  n./v.移植,移种;人工移植(心,胃);迁移
surreptitious  adj.鬼鬼祟祟的
share  v.共享；分享
spineless  adj.没骨气的,懦弱的
shard  n.(陶器等)碎片
elegant  a.雅致的,优美的;简洁的
umpire  n.裁判;v.对...进行仲裁
shark  n.鲨鱼
overdose  n.(药物)过度剂量
downpour  n.暴雨
askew  adj.歪斜的;v.歪斜,弯曲
imponderable  adj.(重量等)无法衡量的
endue  (with)v.赋予(才能)
chairman  n.主席
cloudburst  n.大暴雨,豪雨
supplicate  v.恳求,乞求
sharp  n.高调a.锐利的
hatchet  n.短柄小斧
megalomania  n.自大狂
species  n.生物的种;种类
avant-garde  n.(艺术)先锋派
ignominious  adj.可耻的；耻辱的
shake  v.&n.摇动；颤动
displeasure  n.不快
finery  n.华丽,优雅的服装或装饰
indemnity  n.赔偿,保证
degradation  n.降级；退化；衰变
naked  a.裸体的,无遮蔽的
catalyze  v.催化;促进,刺激
furlough  n.(军人)休假
vandalism  n.(对公物等)恶意破坏
exploitation  n.开发，利用
befuddlement  n.迷惑不解
byproduct  n.副产品;副作用
deprivation  n.剥夺;缺乏;免职
obituary  n.讣闻,讣告
introvert  n.内向的人
shale  n.页岩
shall  v.aux.将
brass  n.黄铜，铜器
impending  adj.行将发生的,逼近的
instable  adj.不稳定的
activate  vt.使活动;触发
brash  adj.性急的,无礼的
outnumbered  adj.在数量上超过的
supervisor  n.监考人，监查
supplicant  n.乞求者,恳求者
shame  n.害羞
endow  vt.捐款,资助;赋予天赋
indent  v.(书写)缩行
financial  a.财政的，金融的
enormity  n.极恶;暴行；巨大
ensemble  n.全体,大合唱
overexposure  n.过分暴露,(照相)暴光过度
pollute  v.弄脏，污染
running  adj.连续的,滚开,走开,流动的n.经营,走私
exalt  v.抬高，发扬
promissory  adj.约定的
commensurate  adj.同样大小的；相称的
diaphanous  adj.(布)精致的,透明的
abstraction  n.抽象，提取
relieve  v.减轻，解除，援救，救济，换班
drawer  n.抽屉
rabies  n.狂犬病；恐水病
requirement  n.(for)需要，需要的东西，要求
transport  n.运输vt.运输
pencil  n.铅笔
resolutely  adj.坚决地，果断地
transpose  v.变换位置,调换
strategy  n.战略，策略；对策，政策
neologism  n.新字,新义
long-term  adj.长期的
hiatus  n.空隙,裂缝
maintain  vt.维持；维修；供养
farther  ad.更远地，再往前地a.更远的
bashful  adj.害羞的,羞怯的
couch  n.长沙发vt.表达
ramify  v.分支,分叉
accusation  n.控告
differently  adv.不同地
pivot  n.枢轴,中心；v.旋转
remorse  n.懊悔,悔恨
dissuade  v.劝阻,阻止
joyful  a.十分喜悦的，快乐的
granulate  v.使成颗粒
aphasia  n.失语症
waver  vi.摇摆；犹豫不决
prickly  adj.易生气的;多刺的
prickle  n.(动物或植物上的)刺,棘v.刺痛
undrinkable  adj.不能喝的
immoral  adj.不道德的
toothache  n.牙疼
deposit  n./vt.存款;定金;沉淀,沉积
querulous  adj.抱怨的,多牢骚的
impassive  adj.无动于衷的,冷漠的
continent  n.大陆，洲;adj.有节制的；节制欲望的
disturbance  n.动乱，骚乱，干扰
upfront  adj.坦率的
another  a.另外的
simultaneous  a.同时发生的
guarantee  n./vt.保证,担保,保证人,担保物
enemy  n.敌人
demobilize  v.遣散(军人),复员
bifurcate  v.分为两支,分叉
knack  n.特殊能力；窍门
lock-up  n.锁，固定资本
indolent  adj.懒惰的
paleontology  n.古生物学
waterfall  n.瀑布
indemnify  v.赔偿，保护
stillness  n.寂静，无声
mawkish  adj.自作多情的
porcupine  n.豪猪,箭猪
effulgent  adj.灿烂的
indenture  n.契约,合同
cemetery  n.公墓,墓地
slumber  n.睡眠；沉睡状态
defray  v.支付
ratification  n.批准，认可
liberation  n.解放
optimum  a.最适宜的
bauxite  n.铝土岩(产铝的矿土、石)
consensus  n.意见一致
declination  n.倾斜；衰微
metric  a.米制的，公制的
sarcasm  n.讽刺,挖苦,嘲笑
technological  adj.技术的，工艺的
countenance  n.容貌，支持
navigable  a.(江河、海洋)可航行的,可通航的;(船)适航的
administration  n.经营，管理；行政，行政机关，管理部门
colloquial  adj.口语的,口头的
sterling  a.金银标准成分的;货真价实的,纯正的
developing  adj.发展中的
dwell  vi.居住;详述
remains  n.(pl.)剩余，残余，遗迹
incorporate  v.结合,合并,组成公司
operator  n.操作人员，(电话)接线员
clemency  n.温和；仁慈，宽厚
summation  n.总结,概要;总数,合计
white  a.白色的n.白色
counterpart  n.对应的物或人
oafishness  n.痴呆
demarcate  v.划分,划界
geneticist  n.遗传学家
clothe  v.(给…)穿衣，供给…衣服
lackluster  adj.无光泽的；呆滞的
termination  n.终止，结束
aggrieved  a.受虐待的
odometer  n.(汽车)里程表
impost  n.进口税，关税
superb  a.壮丽的,头等的
might  v.aux.可以n.力量
nonchalance  n.冷漠，缺少关怀；沉着
brushwork  n.绘画;画家风格
solemnity  n.庄严,肃穆
patriotism  n.爱国主义,民族主义
fastidiousness  n.精挑细选;吹毛求疵
accomplice  n.同谋者,帮凶
apogee  n.远地点(太阳等距离地球最远的点)
bigotry  n.顽固,偏狭
import  v.&n.进口
macabre  adj.骇人的,可怖的
contrition  n.悔罪,痛悔
racy  adj.活泼的,生动的
durable  a.耐用的;n.耐用品
doubtless  ad.无疑地；很可能
central  a.中心的
impose  v.征(税);把…强加于;利用
condensation  n.凝聚
thrash  vt.痛打，鞭打vi.打
perfervid  adj.非常热心的
factor  n.因素,要素
wag  vt.摇，摇摆，摆动
severity  n.严肃,严厉;朴素
rack  n.行李架
green  a.绿色的
race  n.种族
aural  a.听觉的，听力的
paleolithic  adj.旧石器时代的
wan  adj.虚弱的；病态的
greet  v.问候
war  n.战争
sculpture  n./v.雕塑,雕刻
futures  n.期货
manipulative  adj.操纵别人的,老于世故的
way  n.路线a.中途
realization  n.(理想等的)实现
wax  n.蜡，蜂蜡v.打蜡
stellar  adj.星的,星球的
quickly  ad.快，迅速
attentive  a.注意的；有礼貌的
decide  vt.决定
classmate  n.同班同学
unchangeable  adj.不能改变的
insurrection  n.造反,叛乱
moribund  adj.即将结束的；垂死的
electron  n.电子
greed  n.贪心，贪婪
unscathed  adj.未受损伤的,未遭伤害的
embed  v.牢牢插入,嵌于
double  a.两倍的ad.两倍地n.两倍
suicide  n.自杀
stainless  a.纯洁的；不锈的
feasibility  n.可行性
pedantry  n.迂腐
chocolate  n.巧克力(糖)，赭色
denial  n.拒绝,否认;拒绝给予
gardening  n.园艺
portion  n.一部分,一份,一客
isotope  n.同位素
Swiss  a.瑞士的n.瑞士人
gain  v.&n.增加
engross  v.全神贯注于
baroness  n.男爵夫人，女男爵
web  n.网
risible  adj.可笑的,引人发笑的
financing  n.金融业，财政学
raspy  adj.(声音)刺耳的,恼人的
relieved  a.宽慰的，如释重负的
nudge  v.(用肘)轻触,轻推
quaint  adj.离奇有趣的
explore  vt.考察,勘察;探索
wet  a.湿的
electricity  n.电流
climate  n.气候；风气，社会思潮
cosmos  n.宇宙；秩序，和谐
great  a.伟大的
northward  adj.&adv.向北(的)
circumference  n.圆周,圆周长度
rage  n./vi.狂怒
statistics  n.统计,统计数字,统计学
thrall  n.奴隶,农奴
monkey  n.猴子
arrest  n.逮捕，扣留vt.逮捕，扣留；阻止；吸引
assortment  n.花色品种
distinction  n.区别，差别；级别；特性；声望；显赫
unprincipled  adj.肆无忌惮的
retirement  n.退休，引退；退隐
precedence  n.在前,优先
rumor  n.传闻，谣言
nephritis  n.肾炎
protocol  n.礼仪,礼节,外交礼节
enrich  vt.使丰富,充实;使富有
sinful  adj.有罪的，罪恶的
homiletics  n.讲道术,说教术
rain  vi.下雨
remonstrate  v.抗议,规劝
rail  n.栏杆;横杆;vi.责骂
tranquil  a.平静的；稳定的
inner  a.内部的，里面的；内心的
voyage  n.航海；航行；旅行
fastidious  adj.难取悦的,挑剔的
sledgehammer  n.长柄大锤
backlog  n.未交付的订货
cereal  n.谷类粮食
gait  n.步法,步态
misogynist  n.厌恶女人的人
topic  n.话题，主题，题目
sugar  n.糖
embarrass  vt.使困窘
who  pron.谁
option  n.选择(权)，[商]选择买卖的特权
raid  n./vt.(突然)袭击;(警察等)突入查抄,突入搜捕;劫掠,劫夺
erection  n.竖立，建立
game  n.游戏
kindergarten  n.幼儿园
unexpected  a.想不到的，意外的，未预料到
contribute  v.贡献,捐献;促成;投稿
why  ad.为什么
muffler  n.围巾，消音器
microscope  n.显微镜
sequestrate  v.扣押,没收
donor  n.捐赠者,赠送者;献血者
wig  n.假发
cashier  n.出纳员
hospitality  n.好客,殷勤
muffled  adj.(声音)压低的
win  n.胜利
soccer  n.足球
gale  n.大风;一阵喧闹
wit  n.智力,才智
craggy  adj.有峭壁的
electric  a.电的；导电的
cannibal  n.食人者,食同类的动物
barter  v./n.货物交换,易货贸易
gall  n.胆汁；怨恨
egalitarian  adj.主张人人平等的
diminish  v.减小,减少,缩小
linguist  n.语言学者
oyster  n.牡蛎；沉默寡言的人
variance  n.分歧，不一致
various  a.不同的
administrative  adj.行政管理的
attention  n.注意
headache  n.头痛
visit  v.&n.参观；拜访
rake  n.耙子，耙机v.耙；搜索，探索
reduction  n.减小，减少，缩小
rant  v.咆哮;口出狂言
parent  n.双亲
gaol  n.监狱
conversely  ad.相反地,逆地
amulet  n.护身符
Swedish  adj.&n.瑞典人(的)
venison  n.鹿肉
incompetence  n.不胜任,不称职
rank  n.等级v.排列
outlet  n.(河流等)出口,出路;[喻]发泄(情感或精力的)方法
prowl  v.潜行于...,偷偷地漫游
illusive  adj.幻觉的
cosmic  a.宇宙的
gang  n.一组,一队,(罪犯等)一帮,一群
excited  adj.兴奋的
ancestor  n.祖先
ordinarily  ad.通常，大概
privation  n.丧失,贫困
former  a.从前的n.创造者
eventful  adj.多事的
stewardess  n.空中小姐，女乘务员
interpretation  n.解释；口译
simultaneously  adv.同时地
sentient  adj.有知觉的,知悉的
prove  v.证明；原来
rapt  adj.专心致志的,全神贯注的
admire  vt.钦佩；赞美；赞赏
virus  n.病毒
pickle  n.腌制食品，泡菜
meliorism  n.社会改良论
sudden  a.突然的
tooth  n.牙齿
salty  adj.咸的
keeping  n.一致，协调
infuriate  v.使(人)极为愤怒
familiar  a.熟悉的
quicken  vt.加快vi.加快
cacophonous  a.发音不和谐的，不协调的
breathe  v.呼吸
sunflower  n.葵花
tropical  a.热带的
plunge  v./n.投入,插入;跳水
kilometer  n.公里，千米(略作km)
pontifical  adj.自以为是的；武断的
unfit  a.不合适的；无能力的
opacity  n.不透明性,晦涩
interview  n.&v.接见
naive  a.天真的;幼稚的,轻信的
perceiving  adj.察觉到的
byzantine  adj.像迷宫似的;难变更的
fulmination  n.抨击,谴责
gape  v.裂开；目瞪口呆地凝视
devotional  adj.献身的,崇拜的
gasp  n./v.喘气,气喘吁吁地说
woe  n.悲哀，悲痛，苦恼
observe  v.观察，观测，注意到，监视，遵守，评述，说
furnish  vt.用家具装备房子;供应
accomplished  adj.有技巧的,有造诣的;完成了的
bequest  n.遗产,遗赠物
woo  v.向(女人)求爱,争取...的支持
rare  a.稀有的，难得的，珍奇的；稀薄的，稀疏的
enlighten  vt.启发,开导
expansive  adj.(指人)健谈的,开朗的;可扩大的,可伸展的
gash  n.深长的伤口,裂缝
which  a./pron.哪个
sensibleness  n.明智
terse  adj.简洁的,简明的
coinage  n.造币;创造;货币制度;创造新词
quorum  n.法定人数
tumbler  n.平底无脚杯
scrub  n.&vt.擦洗，擦净
downstairs  ad.在楼下，往楼下
affirm  v.断定,肯定
profound  a.深的,极深的;渊博的;深奥的
horrific  adj.可怕的
never  ad.从未；决不
marble  n.大理石,(游戏用的)玻璃弹子
penumbra  n.半明半暗之处；边缘部分
phantom  n.鬼怪,幽灵,幻象
usurp  v.篡夺,霸占
aspiration  n.抱负,热望
usury  n.放高利贷
elephant  n.(动物)象
abeyance  n.缓办，中止
sprocket  n.链轮
whiff  v./n.轻吹,轻风
halcyon  adj.平静的,愉快的
vocal  adj.声音的;使用嗓音的
antecedence  n.居先,优先
hover  vi.(鸟)盘旋,翱翔,(人)逗留在附近徘徊
isthmus  n.地峡
perhaps  ad.可能
anodyne  n.止痛药
subterfuge  n.诡计,托辞
rate  n.速率；等级；价格，费用v.估价；评级，评价
skill  n.技能；技巧
prophecy  n.预言
divide  vt.划分；分开
proprietor  n.所有者，业主
hovel  n.茅舍；肮脏的小屋
contrary  a.相反的
deport  v.将外国人,罪犯等驱逐出境
layman  n.普通信徒(有别于神职人员)；门外汉
childlike  adj.孩子似的，天真的
rash  a.轻率的，鲁莽的n.皮疹
skimp  v.节省花费
rasp  v.(声音)像挫东西一样刺耳
depose  n.免职;作证
out-of-phase  adj.不同步的；不一致的,不协调的
gate  n.大门
sedate  adj.镇静的
forestry  n.林业
limbo  n.不稳定,中间状态
withdraw  vt./vi.收回,取回;撤回;撤退
wry  adj.扭曲的;冷嘲性幽默的
exhilarate  v.使高兴
tabulate  vt.把…制成表
rebarbative  adj.令人讨厌的,冒犯人的
divine  a.神的;极好的;v.占卜
capricious  adj.变化无常的,任性的
authorization  n.授权
stilted  adj.(文章,谈话)不自然的;夸张的
contemplate  vt.仔细考虑;注视;打算;预计
ciliate  adj.有纤毛的,有睫毛的
unaware  adj.未意识到的
manipulation  n.操纵，操作
bathroom  n.浴室；盥洗室，卫生间
conscript  v.强行征兵,征召
maturity  n.成熟，到期
pundit  n.权威人士,专家
rave  n./v.热切赞扬；狂语
announce  v.宣布
somebody  pron.某人n.重要人物
fodder  n.饲料
understated  adj.不完全陈述的,轻描淡写的
plaintive  adj.可怜的,伤心的
handout  n.施舍物，救济品
exclusivity  n.独家经营权
contrast  v.使对比,形成对照;n.明显的差别
halting  adj.踌躇的,吞吞吐吐的
fascia  n.饰带；(商店上挂的)招牌
crafty  adj.狡诈的;熟练的
brittle  a.易碎的,脆弱的
cloture  n.国会或其他立法议会中的借投票表决以终止
become  vi.成为
ferrous  a.铁的；亚铁的
lawful  adj.合法的，法律的
notability  n.著名,显著
accrue  v.产生，发生
subscription  n.预约，用户，订阅费
inflation  n.膨胀;通货膨胀
whirl  vt./vi.使旋转;眩晕
matrimony  n.婚姻(生活)
literature  n.文学,文学作品,文献,著作
irreproachable  adj.不可指责的
irreparable  adj.无法修复的,不能挽回的
belief  n.信任，相信，信念；信仰，信条
abyss  n.深渊,深坑
immigration  n.移居入境
demagogue  n.蛊惑民心的政客
halve  vt.对分；平摊
pasteurize  v.以高热杀菌,消毒
knee  n.膝盖
slender  a.细长的,苗条的,纤弱的;微小的,微薄的
troublesome  a.令人烦恼的，讨厌的
undistinguished  adj.普通的;平凡的
conscious  a.清醒的;察觉到;故意的
accomplishment  n.成就
earshot  n.听力所及范围(hearingdistance)
political  a.政治的
solitary  a.独居的,孤独的,惟一的;荒凉的
reaper  n.收割者
while  n.一会儿
salve  n.药膏；v.减轻,缓和
that  a.&pron.那个
skirt  n.裙子v.环绕
tugboat  n.拖船
than  conj.比
limit  n.界限，限度，范围v.(to)限制，限定
thaw  v.解冻,溶化
porter  n.守门人，门房，行李搬运工，服务员
tolerance  n.容忍,宽恕;忍耐力
turmoil  n.混乱,骚乱
possessed  adj.着迷的;疯狂的
feeling  n.感觉a.有同情心的
rekindle  v.重新点燃
expansion  n.扩张，膨胀；张开，伸展
raze  v.彻底破坏
dismissal  n.解散，开除
gaze  v./n.凝视，注视
essay  n.文章,小品文,随笔
prediction  n.预言，预告；预报
reportage  n.报告文学
thermometer  n.温度计
postpone  vt.推迟,延缓
totalitarian  adj.极权主义的
heat  n.热vt.加热
importer  n.进口商
legacy  n.遗产；遗留之物
careful  a.小心的
seal  n./v.海豹;封蜡,封印;印记
leeward  adj.顺风的
seam  n./v.线缝,接缝;煤层
storage  n.贮藏(量)，保管；库房
veritable  adj.确实的,名副其实的
illusion  n.幻象,错觉
past-due  adj.过期的
inestimable  adj.无法评价的,难以估量的
head  n.头
dialog  n.对话，对白
whine  v.哀号,号哭
misunderstanding  n.误会，曲解
heal  v.治愈;和解
reserve  n./v.保存;预定
reprise  n.(音乐剧中)乐曲的重复;重复
heap  n./vt.堆,一堆,堆积;许多,大量;装载
hear  v.听到
rescue  vt./n.援救;营救
roundabout  a.迂回的，转弯抹角的n.环状交叉路口
disabuse  v.打消(某人)的错误念头,纠正
influx  n.注入,涌入
problematic  adj.有问题的,有困难,有疑问,阴暗的
embark  v.上船;从事;开始
devastate  v.摧毁,破坏
frisk  n./v.欢跃,娱乐
exonerate  v.昭雪，解除
prodigy  n.奇事；奇才
cousin  n.堂(表)兄弟，堂(表)姐妹
whilst  conj.当…时候,有时,时时
propitiate  v.讨好,抚慰
laxity  n.松弛；放纵
disaffect  v.使不满,使不忠
maple  n.槭树，枫树
luxury  n.奢侈,奢侈品
knit  v.编织;紧密结合
consternation  n.大为吃惊,惊骇
salad  n.色拉，凉拌菜
splendid  a.壮丽的,辉煌的
adaptation  n.适应
oratory  n.演讲术
determination  n.决定,确定,决心
falsehood  n.谎言
suppliant  a.恳求的，哀求的；n.恳求者
avaricious  a.贪婪的,贪心的
burnish  v.擦亮,磨光
scarlet  n.猩红色a.猩红的
proclamation  n.宣布，公告
inevitably  ad.不可避免地
clever  a.聪明的
retribution  n.报应,罚
commandeer  v.强占;征用
expiry  n.逾期
brand  n./v.商标;烙印;污辱
they  pron.他(她、它)们
inevitable  a.不可避免的,照例必有的
relapse  n.旧病复发；再恶化；v.旧病复发,再恶化
frustration  n.挫折，灰心
ultramundane  adj.超俗的,世界之外的
them  pron.他(她，它)们
skyscraper  n.摩天大楼
then  ad.当时；然后
seat  n.座位
insensible  adj.无知觉的;无动于衷的
hyperbole  n.夸张法;adj.夸张的
wander  v.漫步；迷路
sear  v.(以烈火)烧灼
expire  vi.满期,到期;逝世,死
viral  adj.病毒性的
singular  a.非凡的;卓越的
commentary  n.实况报道;(对书等的)集注
gratis  adj.免费的
impeccable  adj.无瑕疵的
seed  n.种子；根据v.播种
knob  n.圆形把手,旋钮,圆形突出物
seep  v.(液体等)渗漏
unsubstantiated  adj.未经证实的,无事实根据的
seek  v.寻找
seem  vi.像是
fixate  v.使固定,使不变;注视,凝视
gnarled  adj.(树木)多节的；粗糙的
covenant  n.契约；v.立书保证
heel  n.脚后跟，踵，鞋跟
doggerel  n.歪诗,打油诗
insuperable  adj.难以克服的
sibyl  n.女预言家,女先知
email  n.电子邮件
accountability  n.负有责任
pierce  v.刺透；穿过
apart  ad.分离，离开，隔开a.分离的，分隔的
teenager  n.十几岁的青少年
sensual  adj.肉欲的,淫荡的
necessary  n.必需品
righteous  a.正直的;正当的,公正的
underbid  v.要价过低
badminton  n.羽毛球
closet  n.小储藏室
heed  v.&n.注意，留心
flower  n.鲜花
apostrophe  n.书写中撇号(')(表示省略或所有格)
dismantle  v.拆除
single  a.单一的
molest  v.骚扰,干扰
sect  n.(宗教等)派系
closed  adj.关闭的，停业的
unearthly  adj.奇异的
antibiotic  n./a.抗生素;抗菌的
joint  n.接合处，接头；关节a.联合的，共同的，连接的
separate  v.分开
reasonable  a.明智的;合理的;公平的
thoughtless  a.欠考虑的；自私的
stultify  v.使变得荒谬可笑；使无用
ruler  n.统治者，支配者；尺，直尺
opalescence  n.(不透明的)乳白光
reluctant  a.不愿的,勉强的
usual  a.经常的
organism  n.生物,有机体,有机的组织
untold  adj.无数的,数不清的
this  a&.pron.这
alacrity  n.爽快,乐意
reasonably  adv.合理地，适当地
carnage  n.大屠杀,残杀
thin  a.瘦的
scruple  n.顾忌,迟疑;v.顾忌
remarkable  a.不平常的;出色的
demystify  v.弄清楚
brake  n./v.刹车
know  v.知道
knot  n.绳结;结合;树节;海里;小群人;v.打结
frosty  adj.霜的
ingenious  a.设计独特的;别致的,巧妙的;灵巧的
questionnaire  n.问题单,调查表,征求意见表
populace  n.民众,老百姓
imprint  v.盖印,刻印
privacy  n.隐私;秘密
prophesy  n.预言
hearken  v.倾听
indisposed  adj.不愿意的
curfew  n.宵禁
discompose  v.使失态,慌张
heir  n.继承人
similarity  n.类似，相似；类似点
examination  n.考试；检查(=exam)
screw  n.螺丝,螺旋;螺旋浆;vt./vi.钉住,(用螺丝)拧;使紧
skimpy  adj.吝啬的,贫乏的
testiness  n.易怒
fusty  adj.陈腐的,霉臭的
slight  a.轻微的
zenith  n.天顶；极点
argue  v.不同意,辩论
cumbersome  adj.笨重的
directive  n.命令，指令
ceremonious  adj.仪式隆重的
pedigree  n.家系,祖先
deepen  vt.加深vi.深化
jaunty  adj.愉快的,满足的
truculent  adj.残暴的,凶狠的
accessory  n.同谋者;附件
acknowledgment  n.承认，鸣谢，回执
machination  n.阴谋
beyond  prep.超越
hell  n.地狱,阴间,苦境
helm  n.舵,驾驶盘
odyssey  n.长途的冒险旅行
internationalization  n.国际化
unworldly  a.非世俗的；精神上的
skiff  n.轻舟,小船
deeply  adv.深深的，深切地
proof  n.证据，证明；校样，样张
harbinger  n.先驱,先兆(herald)
maraud  v.抢劫,掠夺
hangar  n.飞机库
footloose  adj.自由自在的,无拘束的
souse  v.浸在水中,使湿透
retributive  adj.报应的
contract  n.合同,契约;v.缔结;负(债);感染(疾病);使皱缩
conclude  v.结束，终止；断定，下结论；缔结，议定
sluggish  adj.行动迟钝的,缓慢的
braggadocio  n.吹牛大王,大吹大擂
nethermost  adj.最低的,最下方的
shilling  n.先令
susceptible  adj.易受影响的,脆弱的
dereliction  n.遗弃,弃置
insight  n.洞悉,洞察,见识
assail  v.抨击,猛攻
fabric  n.织物;构造,结构
proletarian  adj.&n.无产阶级
revolutionary  a.革命的，革新的n.革命者
argot  n.隐语,黑话
exact  a.精确的
fussy  adj.爱大惊小怪的
splendor  n.壮丽；辉煌
south  n.南部a.南方的
north  n.北方
vagabond  n.浪荡子,流浪者;adj.流浪的
magnetism  n.磁；魅力；催眠术
undemanding  adj.要求不高的,不苛求的
baleful  adj.邪恶的,恶意的
eminence  n.卓越,杰出
saturate  v.浸透;使充满
counterfeit  v.伪造,仿造
judiciousness  n.明智
course  n.过程
sprinkler  n.洒水装置,洒水车
precious  a.宝贵的,珍贵的
ulterior  adj.较晚的,较远的；不可告人的
sell  v.卖
coffin  n.棺材，柩
brain  n.头脑
enfeeble  v.使衰弱
help  v.&n.帮助
depth  n.深度
bigot  n.(宗教,政治等的)盲信者
smudge  n.渍痕;v.弄脏
mingle  v.(使)混合
braid  n.穗子,发辫(plait);v.编成辫子
superstition  n.迷信;迷信行为
histrionic  adj.演戏的；剧院的
self  n.自己
prone  a.俯伏的;有…倾向
exposition  n.说明，解释；陈列
overpowering  adj.压倒性的,不可抗拒的
onion  n.洋葱
mannequin  n.时装模特儿;人体模型
sound  n.声音a.可靠的
eucalyptus  n.桉树
treasurer  n.司库，财务主管
rebuttal  adj.反驳,反证
sinkhole  n.污水池
translate  v.翻译；解释
sales  n.销售adj.出售的
indignation  n.愤怒，愤慨
barrier  n.栅栏，屏障；障碍(物)
revitalize  v.使重新充满活力
discourteous  adj.不恭的,不敬的
hanger  n.衣架
recalcitrant  adj.顽抗的
proud  a.自豪的
incapacity  n.缺乏能力
brace  n.用以夹住或支撑的东西;拉条;撑臂;背带;v.支住;奋起振作
nightmare  n.恶梦；可怕的事物，无法摆脱的恐惧
startle  v.惊吓，使吃惊
igneous  adj.火的,火绒的
anatomical  adj.解剖学的
flange  n.(火车车轮的)凸缘,轮缘
send  v.送；寄
inconsiderable  adj.微小的,不值得考虑的
here  n.这
concrete  a.有形的;具体的;n.混凝土;vt.浇混凝土于
ancestry  n.家系
vegetation  n.植物,草木,植被
hero  n.英雄
hers  pron.她的
blighted  adj.枯萎的;衰老的
engaging  adj.迷人的,美丽动人的
security  n.安全(感)，防御(物)，保证(人)，(pl.)证券
organize  v.组织，编组
buck  v.反对;马弓背跳跃;n.雄鹿,雄兔
surmount  v.克服,战胜
abstinence  n.禁绝(尤指食物或酒)
feeble  a.虚弱的,无力的
herb  n.草木植物,药草
neurology  n.神经学
herd  n.兽群,牲口群,牧人;v.把…赶到一起,成群
prose  n.散文a.散文的
implementation  n.实行，执行
smoke  n.烟
garish  adj.俗丽的,过于艳丽的
fertilizer  n.肥料
plodding  adj.沉重缓慢的,单调乏味的
loophole  n.枪眼，小窗，换气孔
interrogate  v.审问,审讯
treaty  n.条约，协议，协商
fathomless  adj.深不可测的
harmless  adj.无害的，无恶意的
gynaecocracy  n.妇人政治
perishing  adj.严寒的
satisfactorily  ad.圆满地
anthem  n.圣歌；赞美歌
numerous  a.许许多多的
spacious  a.广阔的,宽敞的
astrolabe  n.星盘(古代星位观测仪)
seismic  adj.地震的
encumber  v.妨害,阻碍
forwardness  n.大胆,鲁莽
stylus  n.铁笔
without  prep.没有ad.在外
youth  n.青年；年轻人
involuntary  adj.无意的
baste  v.倒脂油于(烤肉上,以防烤干)
constrict  v.压缩,收缩
compartment  n.隔间,车室
sovereignty  n.主权
discernible  a.可识别的，依稀可辨的
authorize  v.授权，批准
audience  n.听众；观众
thus  ad.因而
disobedient  adj.不顺从的,不服从的
possess  v.占有，拥有
cranky  adj.怪癖的,任性的；不稳的
sere  adj.干枯的,凋萎的
deflate  v.收缩，紧缩
sender  n.寄信人
evacuate  v.撤退；撤离
inefficient  a.效率低的，无能的
much  a.许多
placate  v.抚慰,平息(愤怒)
bedraggled  adj.(衣服、头发等)弄湿的,凌乱不堪的
chapter  n.章；回，篇
poise  v.使相等,使平衡；n.泰然自若,镇定
defence  n.防卫,防护,防御物;辩护;被告律师
perturbation  n.烦乱,扰乱
qualms  n.疑虑(尤指有关良心问题的)
draftsmanship  n.起草术,制图术
weekly  a.每星期的，一周的ad.每周一次n.周刊，周报
hearsay  n.谣传,道听途说
indulgent  adj.放纵的
juggernaut  n.摧毁一切的强大力量
deceitful  adj.欺骗性的
pervert  v.使堕落；误用;歪曲
adduce  v.给予(理由)；举出(例证)
committed  adj.(对事业,本职工作等)尽忠的
committee  n.委员会
namely  ad.即,也就是
union  n.协会；联合
suite  n.套间；一套家具；套，组，系列
encephalitis  n.脑炎
winnow  v.把(谷物)的杂质吹掉,扬去
adage  n.格言,古训
illustration  n.说明；例证，插图；举例说明
arch  n.拱v.拱起
indisputable  adj.无可辩驳的
yours  pron.你(们)的
wrap  vt./vi.包裹
inconsonant  adj.不协调的,不一致的
rationalize  v.据理解释,合理地说明
novel  a.新奇的;n.小说
standard  n.军旗；规格
